config_name,mse,mae,precision,recall,novelty,diversity,hits,p_name,p_alpha_cf,p_temperature,p_top_k,p_svd_components,p_shrink_term,p_use_popularity_bias,p_popularity_weight,p_use_probabilistic_sampling,p_sampling_top_k_pool,p_award_weight,p_director_weight,p_runtime_weight,p_runtime_outside_malus,p_missing_runtime_malus,p_forbidden_genre_malus,p_missing_year_malus,p_year_below_malus_per_year,p_random_seed,p_verbose_users
G1_PureContent,0.0078040797231062565,0.04806564029469661,0.025662778366914107,0.02062088999880225,12.760760820313804,0.5892895015906682,0.256627783669141,G1_PureContent,0.0,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G1_ContentDominant,0.007811067962550781,0.0481598901440775,0.031813361611876985,0.02418314654970505,12.367600523408791,0.5759278897136798,0.3181336161187699,G1_ContentDominant,0.2,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G1_Balanced,0.00780511508072753,0.04815159309733063,0.03085896076352068,0.022885868359531852,12.318975937220968,0.5738069989395546,0.30858960763520676,G1_Balanced,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G1_CFDominant,0.0078043385442765605,0.04817237003028858,0.030646871686108173,0.022660544856036777,12.292921445652443,0.5738069989395547,0.3064687168610817,G1_CFDominant,0.8,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G1_PureCF,0.007804033925233007,0.0481915376410818,0.030752916224814422,0.02267737732249809,12.28109312322257,0.5763520678685048,0.3075291622481442,G1_PureCF,1.0,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G1_ComplexCF,0.007805862412232401,0.04814288970609668,0.02926829268292683,0.022542319495959872,12.295586751463814,0.5865323435843053,0.2926829268292683,G1_ComplexCF,0.8,2.0,10,100,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G2_Deterministic,0.007807859005383056,0.04815811115340058,0.0312831389183457,0.023504461501985013,12.331654219379551,0.5734888653234358,0.31283138918345704,G2_Deterministic,0.4,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G2_Conservative,0.008275592151609272,0.05703605302889274,0.026829268292682923,0.019706000088301163,12.547658066390792,0.58101802757158,0.2682926829268293,G2_Conservative,0.4,0.5,10,30,5,False,0.0,True,20.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G2_Balanced,0.00777863836044141,0.04905828791510938,0.020360551431601273,0.01425896847509272,12.709227212947985,0.5922587486744433,0.20360551431601273,G2_Balanced,0.4,1.0,10,30,5,False,0.0,True,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G2_Adventurous,0.007755320698797391,0.047803955291142244,0.01633085896076352,0.009999477558370181,12.876774616744964,0.5895015906680806,0.1633085896076352,G2_Adventurous,0.4,1.5,10,30,5,False,0.0,True,100.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G2_Chaos,0.0077611826359794455,0.047238897584255896,0.012725344644750796,0.00895498390801833,13.419481787325259,0.5938494167550371,0.12725344644750794,G2_Chaos,0.4,3.0,10,30,5,False,0.0,True,200.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G2_DeepCatalog,0.0237882869054501,0.0829623359891994,0.02301166489925769,0.017203643592522806,12.634928986250632,0.5881230116648993,0.2301166489925769,G2_DeepCatalog,0.4,0.2,10,30,5,False,0.0,True,,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G3_NoBias,0.007811470976491457,0.04816602016797031,0.03170731707317073,0.02418314654970506,12.34699262542189,0.5750795334040296,0.3170731707317073,G3_NoBias,0.3,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G3_Subtle,0.007826923382243414,0.04828523840051621,0.042523860021208906,0.03004657880113748,11.387334642836235,0.6262990455991515,0.4252386002120891,G3_Subtle,0.3,2.0,10,30,5,True,0.1,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G3_Moderate,0.007851905987623694,0.04851523292090777,0.06012725344644751,0.039914361561868644,10.20795171027573,0.693001060445387,0.601272534464475,G3_Moderate,0.3,2.0,10,30,5,True,0.5,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G3_Strong,0.00785264039385836,0.048596440356481856,0.06383881230116649,0.04203353466715192,9.980606521878173,0.7126193001060446,0.6383881230116649,G3_Strong,0.3,2.0,10,30,5,True,1.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G3_Dominant,0.007841300354413983,0.04870427637065902,0.06691410392364794,0.04278904546227054,9.572769645746979,0.7314952279957582,0.6691410392364793,G3_Dominant,0.3,2.0,10,30,5,True,2.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G4_AllEqual,0.007814457418613857,0.04821158356245133,0.0320254506892895,0.024567558002515238,12.383062271299096,0.5766702014846234,0.32025450689289503,G4_AllEqual,0.1,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.5,0.5,0.1,5.0,0.1,0.05,42,0
G4_DirectorOnly,0.007815344091782047,0.048110229862598365,0.03213149522799576,0.024792500963407297,12.373572021544177,0.5768822905620361,0.3213149522799576,G4_DirectorOnly,0.1,2.0,10,30,5,False,0.0,False,50.0,0.0,1.0,0.0,0.5,0.1,5.0,0.1,0.05,42,0
G4_AwardOnly,0.007806541586453435,0.04806368516524297,0.032979851537645814,0.02403158003693543,12.255357992691245,0.5739130434782609,0.3297985153764581,G4_AwardOnly,0.1,2.0,10,30,5,False,0.0,False,50.0,1.0,0.0,0.0,0.5,0.1,5.0,0.1,0.05,42,0
G4_RuntimeOnly,0.007819617431392051,0.04835759035718461,0.03170731707317073,0.024731067296411273,12.385286172904904,0.5768822905620361,0.3170731707317073,G4_RuntimeOnly,0.1,2.0,10,30,5,False,0.0,False,50.0,0.0,0.0,1.0,0.5,0.1,5.0,0.1,0.05,42,0
G4_NoMeta,0.00781543504672506,0.048108456366751005,0.03160127253446448,0.024554326398567514,12.384267681737954,0.5769883351007423,0.31601272534464475,G4_NoMeta,0.1,2.0,10,30,5,False,0.0,False,50.0,0.0,0.0,0.0,0.5,0.1,5.0,0.1,0.05,42,0
G5_Anarchy,0.007815042624600886,0.04803816920293152,0.03488865323435843,0.026693292666267642,12.173529310690158,0.6575821845174973,0.3488865323435843,G5_Anarchy,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.0,0.0,0.1,0.05,42,0
G5_Permissive,0.007806281854498168,0.048015417257005436,0.031919406150583245,0.0240547230537349,12.292241731197853,0.5887592788971369,0.31919406150583246,G5_Permissive,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.0,0.5,0.1,0.05,42,0
G5_Standard,0.00780511508072753,0.04815159309733063,0.03085896076352068,0.022885868359531852,12.318975937220968,0.5738069989395546,0.30858960763520676,G5_Standard,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G5_Strict,0.007800296723251934,0.0479598586437762,0.03213149522799576,0.022288169057817407,12.063130924362047,0.5520678685047719,0.3213149522799576,G5_Strict,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,1.0,20.0,0.1,0.05,42,0
G5_Draconian,0.007797114262006888,0.048509610521374646,0.043266171792152704,0.025792012180631086,10.88182169954822,0.6328738069989395,0.432661717921527,G5_Draconian,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,10.0,100.0,0.1,0.05,42,0
G6_Timeless,0.007797121327562248,0.048048348698420486,0.03043478260869565,0.020877388950795054,12.085207586416592,0.5870625662778366,0.30434782608695654,G6_Timeless,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.0,42,0
G6_Nostalgic,0.007798746286870228,0.04805804678109135,0.03043478260869565,0.02121994848275156,12.112660094657368,0.5857900318133615,0.30434782608695654,G6_Nostalgic,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.001,42,0
G6_Modernist,0.007806296491276421,0.048112577956074605,0.030965005302226938,0.022723606201678914,12.26482943507122,0.5772004241781548,0.30965005302226933,G6_Modernist,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.02,42,0
G6_NewGen,0.00780511508072753,0.04815159309733063,0.03085896076352068,0.022885868359531852,12.318975937220968,0.5738069989395546,0.30858960763520676,G6_NewGen,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G6_FreshOnly,0.0078067025178584675,0.048245663613815035,0.03170731707317073,0.023962220427400358,12.386752797860275,0.5733828207847297,0.3170731707317073,G6_FreshOnly,0.5,2.0,10,30,5,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.15,42,0
G7_Naive,0.007794121642420376,0.04812457759078717,0.02831389183457052,0.020276461683844768,12.35129182782419,0.5796394485683987,0.2831389183457052,G7_Naive,0.8,2.0,10,30,0,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
G7_Optimistic,0.007798754224880399,0.04815294397511738,0.030328738069989394,0.02167285480224481,12.292666117713859,0.5724284199363734,0.30328738069989397,G7_Optimistic,0.8,2.0,10,30,2,False,0.0,False,50.0,0.5,0.5,0.3,0.5,0.1,5.0,0.1,0.05,42,0
